makespan,emission,serviceLevel,feasible
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
180.0378,107.5473,0.2725,false
